"BF_ID";"SCHICHT_NR";"HOR_NR";"OTIEF";"UTIEF";"SW_HORIZ";"HORIZ";"BOART";"GROBBOD_F";"GROBBOD_K";"HUMUS";"KALK";"KOHLE";"SUBSTRART";"PH";"LD";"GEFUEGE";"SV";"STRAT";"STRAT_JUENGST_PRAEG";"STRAT_URSP";"GEOGEN";"HERK";"LAGE"
8386;2;3;2,00;2,50;"II";"Bsh";"Su2";"X";4;"h2";"c0";;"pfl-nls(^s,Lol)";;"Ld3";;;"qp";"qp";;"pfl";"^s,Lol";"LH"
8386;2;4;2,50;5,00;;"Bhs";"Su2";"X";4;"h1";"c0";;"pfl-nls(^s,Lol)";;"Ld4";;;"qp";"qp";;"pfl";"^s,Lol";"LH"
8386;3;5;5,00;10,00;"III";"ilCv";"Su2";"X";4;"h0";"c0";;"pfl-nls(^s)";;"Ld3";;;"qp";"qp";;"pfl";"^s";"LB"
8386;4;6;10,00;20,00;"IV";"mCn";;;;;;;"n-^s";;;;;;;;"n";"^s";
8389;1;1;0,00;1,00;;"Go-Aa";"Ls2";"X";2;"h6";"c0";;"pfl-(n)ll(^s,^t,Lol)";;"Ld2";;;"qp";"qp";;"pfl";"^s,^t,Lol";"LH"
8389;1;2;1,00;4,00;;"Aa-Go";"Ls2";"X";3;"h6";"c0";;"pfl-(n)ll(^s,^t,Lol)";;"Ld3";;;"qp";"qp";;"pfl";"^s,^t,Lol";"LH"
8389;2;3;4,00;8,00;"II";"Gr";"Lt2";"X";3;"h1";"c0";;"pfl-(n)ll(^t)";;"Ld4";;;"qp";"qp";;"pfl";"^t";"LB"
8389;3;4;8,00;20,00;"III";"mCn";;;;;;;"n-^t";;;;;;;;"n";"^t";
8390;1;1;0,00;1,00;;"Srw-Ah";"Ls2";"X";2;"h4";"c0";;"pfl-(n)ll(^s,^t,Lol)";;"Ld2";;;"qp";"qp";;"pfl";"^s,^t,Lol";"LH"
8390;1;2;1,00;4,00;;"Srw";"Ls2";"X";3;"h0";"c0";;"pfl-(n)ll(^s,^t,Lol)";;"Ld3";;;"qp";"qp";;"pfl";"^s,^t,Lol";"LH"
8390;2;3;4,00;8,00;"II";"Srd";"Lt2";"X";3;"h0";"c0";;"pfl-(n)ll(^t)";;"Ld4";;;"qp";"qp";;"pfl";"^t";"LB"
8390;3;4;8,00;20,00;"III";"mCn";;;;;;;"n-^t";;;;;;;;"n";"^t";
8393;1;1;0,00;3,00;;"eAp";"Lt2";"X";2;"h3";"c3.3";;"pfl-(n)cll(^k)";;"Ld3";;;"qp";"qp";;"pfl";"^k";"LB"
8393;1;2;3,00;5,00;;"elCv";"Lts";"X";3;"h0";"c3.3";;"pfl-(n)ctl(^k)";;"Ld3";;;"qp";"qp";;"pfl";"^k";"LB"
