"GEN_ID";"BF_ID";"BOF_NR";"STATUS";"BODTYP";"BO_SUBTYP";"BO_SUBTYP_TXT";"BODSYSTEINH";"BODSYSTEINH_TXT";"SUBSTRSUBTYP";"KULTUR";"HUFORM";"GWS";"VNGRAD";"MHGW";"MGW";"MNGW";"FLANT_SPANNE";"FLANT_MITTELW"
1338;4689;1;"Leitprofil";"GH";"GHn";"Niedermoorgley";"GHn";"Niedermoorgley";"og-Hn\m-s(Sm)";"G";;"GWS1";;"< 0";"< 2";"< 4";"50 bis < 70";60
1338;4690;2;"Begleitprofil";"GH";"GHn";"Niedermoorgley";"GHn";"Niedermoorgley";"og-Hn\m-l(Lm)//gm-l(Lg)";"G";;"GWS1";;"< 0";"< 2";"< 4";"30 bis < 50";40
1339;4692;1;"Leitprofil";"ÜA";"ÜAn";"Normstrand";"ÜAn";"Normstrand";"m-s(Sm)";"O";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"30 bis < 50";40
1339;4693;2;"Begleitprofil";"OL";"OLn";"Normlockersyrosem";"OLn";"Normlockersyrosem";"a-s(Sa)";"F";"MOR";;;;;;"10 bis < 30";20
1339;4694;3;"Begleitprofil";"RQ";"RQn";"Normregosol";"RQn";"Normregosol";"a-s(Sa)";"F";"MOR";;;;;;"10 bis < 30";20
1339;4695;4;"Begleitprofil";"PP";"PPn";"Normpodsol";"PPn";"Normpodsol";"a-s(Sa)";"F";"MOR";;;;;;"10 bis < 30";20
1341;4696;1;"Leitprofil";"HN";"HNn";"Normniedermoor";"HNn";"Normniedermoor";"og-Hn/m-s(Sstw)";"O";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"30 bis < 50";40
1341;4697;2;"Begleitprofil";"GH";"GHn";"Niedermoorgley";"GHn";"Niedermoorgley";"og-Hn\m-s(Sstw)";"G";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"10 bis < 30";20
1341;4698;3;"Begleitprofil";"GM";"GMn";"Normanmoorgley";"GMn";"Normanmoorgley";"m-s(Sstw)";"G";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"10 bis < 30";20
1341;4699;4;"Begleitprofil";"HN";"HNn";"Normniedermoor";"HNn";"Normniedermoor";"og-Hn/a-s(Sa)";"O";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"10 bis < 30";20
1342;4700;1;"Leitprofil";"KV";"KVn";"Normerdniedermoor";"KVn";"Normerdniedermoor";"og-Hn/m-s(Sst)";"G";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"50 bis < 70";60
1342;4701;2;"Begleitprofil";"GG";"GGn";"Normgley";"GGn";"Normgley";"m-s(Sst)";"G";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"10 bis < 30";20
1342;4702;3;"Begleitprofil";"GH";"GHn";"Niedermoorgley";"GHn";"Niedermoorgley";"og-Hn\m-s(Sst)";"G";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"10 bis < 30";20
1364;4703;1;"Leitprofil";"KV";"KVn";"Normerdniedermoor";"KVn";"Normerdniedermoor";"og-Hn";"G";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"30 bis < 50";40
1364;4704;2;"Begleitprofil";"KM";"KMn";"Normmulmniedermoor";"KMn";"Normmulmniedermoor";"og-Hn";"G";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"10 bis < 30";20
1364;4705;3;"Begleitprofil";"HN";"HNn";"Normniedermoor";"HNn";"Normniedermoor";"og-Hn";"O";;"GWS1";;"< 0";"< 2";"< 4";"< 10";5
1364;4706;4;"Begleitprofil";"KV";"KVn";"Normerdniedermoor";"KVn";"Normerdniedermoor";"og-Hn/g-l(Lg)";"G";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"10 bis < 30";20
1364;4707;5;"Begleitprofil";"KM";"KMn";"Normmulmniedermoor";"KMn";"Normmulmniedermoor";"og-Hn/f-s(Sf)";"G";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"10 bis < 30";20
1365;4708;1;"Leitprofil";"KV";"KVn";"Normerdniedermoor";"KVn";"Normerdniedermoor";"og-Hn/f-s(Sf)";"G";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"30 bis < 50";40
1365;4709;2;"Begleitprofil";"KM";"KMn";"Normmulmniedermoor";"KMn";"Normmulmniedermoor";"og-Hn/f-s(Sf)";"G";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"30 bis < 50";40
1365;4710;3;"Begleitprofil";"HN";"HNc";"Kalkniedermoor";"HNc";"Kalkniedermoor";"og-Hn/f-s(Sf)";"O";;"GWS1";;"< 0";"< 2";"< 4";"< 10";5
1366;4711;1;"Leitprofil";"HH";"HHn";"Normhochmoor";"HHn";"Normhochmoor";"og-Hh";"O";;"GWS1";;"< 0";"< 2";"< 4";"50 bis < 70";60
1366;4712;2;"Begleitprofil";"HH";"HHn";"Normhochmoor";"HHn/HN";"Normhochmoor über Niedermoor";"og-Hh/og-Hn";"O";;"GWS1";;"< 0";"< 2";"< 4";"30 bis < 50";40
1351;4713;1;"Leitprofil";"GG";"GGa";"Auengley";"GGa";"Auengley";"fo-s(Sfo)";"G";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"70 bis < 90";80
1351;4714;2;"Begleitprofil";"GG";"AB-GG";"Vega-Gley";"AB-GG";"Vega-Gley";"fo-s(Sfo)";"G";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"10 bis < 30";20
1143;4719;1;"Leitprofil";"BB";"BBn";"Normbraunerde";"BBn";"Normbraunerde";"p-(k)s(Sp)/fg-(k)s(Sgf)";"F";"MOR";;;;;;"30 bis < 50";40
1143;4720;2;"Begleitprofil";"BB";"BBn";"Normbraunerde";"BBn";"Normbraunerde";"fg-(k)s(Sgf)";"F";"MOR";;;;;;"10 bis < 30";20
1143;4721;3;"Begleitprofil";"LL";"LLd";"Bänderparabraunerde";"LLd";"Bänderparabraunerde";"p-(k)s(Sp)/fg-(k)s(Sgf)";"F";"MOR";;;;;;"10 bis < 30";20
1143;4722;4;"Begleitprofil";"LL";"LLd";"Bänderparabraunerde";"LLd";"Bänderparabraunerde";"fg-(k)s(Sgf)";"F";"MOR";;;;;;"< 10";5
1143;4723;5;"Begleitprofil";"RQ";"RQn";"Normregosol";"RQn";"Normregosol";"fg-(k)s(Sgf)";"F";"MOR";;;;;;"< 10";5
1143;4724;6;"Begleitprofil";"YK";"YKn";"Normkolluvisol";"YKn";"Normkolluvisol";"uk-(k)s(Suk)";"G";;;;;;;"< 10";5
1146;4725;1;"Leitprofil";"GG";"GGn";"Normgley";"GGn";"Normgley";"fg-(k)s(Sgf)";"G";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"10 bis < 30";20
1146;4726;2;"Begleitprofil";"BB";"GG-BB";"Gley-Braunerde";"GG-BB";"Gley-Braunerde";"p-(k)s(Sp)/fg-(k)s(Sgf)";"A";;"GWS4";;"4 bis < 8";"8 bis < 13";"13 bis < 16";"10 bis < 30";20
1146;4727;3;"Begleitprofil";"BB";"GG-BB";"Gley-Braunerde";"GG-BB";"Gley-Braunerde";"fg-(k)s(Sgf)";"A";;"GWS4";;"4 bis < 8";"8 bis < 13";"13 bis < 16";"10 bis < 30";20
1146;4728;4;"Begleitprofil";"BB";"BBn";"Normbraunerde";"BBn";"Normbraunerde";"p-(k)s(Sp)/fg-(k)s(Sgf)";"A";;"GWS5.2";;"13 bis < 16";"16 bis < 20";">= 20";"10 bis < 30";20
1146;4729;5;"Begleitprofil";"BB";"BBn";"Normbraunerde";"BBn";"Normbraunerde";"p-(k)s(Sp)/fg-(k)s(Sgf)//gm-(k)l(Lg)";"A";;;;;;;"10 bis < 30";20
1146;4730;6;"Begleitprofil";"GG";"GGn";"Normgley";"GGn";"Normgley";"fg-(k)s(Sgf)/gm-(k)l(Lg)";"G";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"< 10";5
1329;4731;1;"Leitprofil";"SS";"LL-SS";"Parabraunerde-Pseudogley";"LL-SS";"Parabraunerde-Pseudogley";"p-(k)s(Sp)/gm-(k)l(Lg)//gm-(k)el(Mg)";"G";;;"Vn2";;;;"10 bis < 30";20
1329;4732;2;"Begleitprofil";"SS";"LL-SS";"Parabraunerde-Pseudogley";"LL-SS";"Parabraunerde-Pseudogley";"fg-(k)s(Sgf)/gm-(k)l(Lg)//gm-(k)el(Mg)";"G";;;"Vn2";;;;"10 bis < 30";20
1329;4733;3;"Begleitprofil";"GG";"GGn";"Normgley";"GGn";"Normgley";"p-(k)s(Sp)/gm-(k)s(Lg)//gm-(k)esl(Mg)";"G";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"10 bis < 30";20
1329;4734;4;"Begleitprofil";"GG";"GGn";"Normgley";"GGn";"Normgley";"fg-(k)s(Sgf)/gm-(k)sl(Lg)//gm-(k)esl(Mg)";"G";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"< 10";5
